customerid,recency,frequency,monetary_value,unique_products,first_purchase,last_purchase,avg_order_value,max_order_value,customer_lifetime_days,r_score,f_score,m_score,rfm_score,customer_segment,revenue_rank,cumulative_revenue,cumulative_revenue_share
14646,2,73,280206.02,700,2010-12-20 10:09:00,2011-12-08 12:12:00,3838.438630136986,20277.92,354,5,5,5,15,Champions,1,280206.02,0.0314435185796204
18102,1,60,259657.3,150,2010-12-07 16:42:00,2011-12-09 11:50:00,4327.621666666667,22206.0,367,5,5,5,15,Champions,2,539863.3200000001,0.060581147874251784
17450,8,46,194550.79,124,2010-12-07 09:23:00,2011-12-01 13:29:00,4229.365,31698.159999999996,360,5,5,5,15,Champions,3,734414.1100000001,0.08241280366824516
16446,1,2,168472.5,3,2011-05-18 09:52:00,2011-12-09 09:15:00,84236.25,168469.6,205,5,3,5,13,Loyal Customers,4,902886.6100000001,0.10131806553201632
14911,1,201,143825.06,1787,2010-12-01 14:05:00,2011-12-08 15:54:00,715.5475621890547,4345.1,373,5,5,5,15,Champions,5,1046711.6700000002,0.11745749731983093
12415,24,21,124914.53,444,2011-01-06 11:12:00,2011-11-15 14:22:00,5948.310952380953,22775.93,314,4,5,5,14,Champions,6,1171626.2000000002,0.13147487048304687
14156,10,55,117379.63,714,2010-12-03 11:48:00,2011-11-30 10:54:00,2134.175090909091,16774.72,362,5,5,5,15,Champions,7,1289005.83,0.14464670946342983
17511,3,31,91062.38,453,2010-12-01 10:19:00,2011-12-07 10:12:00,2937.496129032258,7059.54,371,5,5,5,15,Champions,8,1380068.21,0.15486533944659167
16029,39,63,81024.84,44,2010-12-01 09:57:00,2011-11-01 10:27:00,1286.1085714285714,8142.75,336,3,5,5,13,Needs Attention,9,1461093.05,0.16395759971263013
12346,326,1,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,77183.6,1,1,1,5,7,At-Risk High-Value,10,1538276.6500000001,0.17261881248972175
16684,4,28,66653.56,119,2010-12-16 17:34:00,2011-12-05 14:06:00,2380.4842857142858,13760.02,354,5,5,5,15,Champions,11,1604930.2100000002,0.18009838931058322
14096,4,17,65164.79,1119,2011-08-30 10:49:00,2011-12-05 17:17:00,3833.2229411764706,8935.98,98,5,5,5,15,Champions,12,1670095.0000000002,0.1874109027430286
13694,4,50,65039.62,366,2010-12-01 12:12:00,2011-12-06 09:32:00,1300.7924,3547.34,370,5,5,5,15,Champions,13,1735134.6200000003,0.19470937013456235
15311,1,91,60767.9,567,2010-12-01 09:41:00,2011-12-09 12:00:00,667.7791208791209,4041.18,374,5,5,5,15,Champions,14,1795902.5200000003,0.20152848341662
13089,3,97,58825.83,636,2010-12-05 10:27:00,2011-12-07 09:02:00,606.4518556701031,3705.48,367,5,5,5,15,Champions,15,1854728.3500000003,0.20812966592714063
17949,1,45,58510.48,29,2010-12-03 13:12:00,2011-12-08 18:46:00,1300.232888888889,13355.4,371,5,5,5,15,Champions,16,1913238.8300000003,0.21469546121227587
15769,7,26,56252.72,26,2010-12-03 15:16:00,2011-12-02 13:52:00,2163.566153846154,10065.0,364,5,5,5,15,Champions,17,1969491.5500000003,0.22100790034714593
15061,4,48,54534.14,70,2010-12-02 15:19:00,2011-12-06 12:06:00,1136.1279166666666,5375.28,369,5,5,5,15,Champions,18,2024025.6900000002,0.22712748780038342
14298,8,44,51527.3,884,2010-12-14 12:59:00,2011-12-01 13:12:00,1171.075,5590.67,353,5,5,5,15,Champions,19,2075552.9900000002,0.23290966055637088
14088,10,13,50491.81,379,2011-01-21 13:07:00,2011-11-29 16:16:00,3883.9853846153846,10584.77,313,5,5,5,15,Champions,20,2126044.8000000003,0.23857563506274895
15749,235,3,44534.3,5,2011-01-11 12:55:00,2011-04-18 13:20:00,14844.766666666668,21535.9,98,1,3,5,9,At-Risk High-Value,21,2170579.1,0.24357308333127786
12931,22,15,42055.96,28,2010-12-17 09:45:00,2011-11-18 12:39:00,2803.730666666667,18841.48,337,4,5,5,14,Champions,22,2212635.06,0.24829242290736467
17841,2,124,40991.57,1323,2010-12-01 14:41:00,2011-12-08 12:07:00,330.5771774193548,974.01,372,5,5,5,15,Champions,23,2253626.63,0.2528923211997097
15098,182,3,39916.5,1,2011-06-10 15:22:00,2011-06-10 15:33:00,13305.5,38970.0,1,1,3,5,9,At-Risk High-Value,24,2293543.13,0.2573715797444884
13798,1,57,37153.85,113,2010-12-02 17:24:00,2011-12-08 15:51:00,651.8219298245614,3762.66,371,5,5,5,15,Champions,25,2330696.98,0.26154082554719965
