customerid,recency,frequency,monetary_value,unique_products,first_purchase,last_purchase,avg_order_value,max_order_value,customer_lifetime_days,r_score,f_score,m_score,rfm_score,customer_segment
12346,326,1,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,77183.6,1,1,1,5,7,At-Risk High-Value
12347,2,7,4310.0,103,2010-12-07 14:57:00,2011-12-07 15:52:00,615.7142857142857,1294.32,366,5,5,5,15,Champions
12348,75,4,1797.24,22,2010-12-16 19:09:00,2011-09-25 13:13:00,449.31,892.8,283,2,4,4,10,At-Risk High-Value
12349,19,1,1757.55,73,2011-11-21 09:51:00,2011-11-21 09:51:00,1757.55,1757.55,1,4,1,4,9,Recent High-Value
12350,310,1,334.4,17,2011-02-02 16:01:00,2011-02-02 16:01:00,334.4,334.4,1,1,1,2,4,Inactive/Low Engagement
12352,36,8,2506.04,59,2011-02-16 12:33:00,2011-11-03 14:37:00,313.255,840.3,261,3,5,5,13,Needs Attention
12353,204,1,89.0,4,2011-05-19 17:47:00,2011-05-19 17:47:00,89.0,89.0,1,1,1,1,3,Inactive/Low Engagement
12354,232,1,1079.4,58,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,1079.4,1,1,1,4,6,At-Risk High-Value
12355,214,1,459.4,13,2011-05-09 13:49:00,2011-05-09 13:49:00,459.4,459.4,1,1,1,2,4,Inactive/Low Engagement
12356,23,3,2811.43,53,2011-01-18 09:50:00,2011-11-17 08:40:00,937.1433333333333,2271.62,303,4,3,5,12,Loyal Customers
12357,33,1,6207.67,131,2011-11-06 16:07:00,2011-11-06 16:07:00,6207.67,6207.67,1,4,1,5,10,Recent High-Value
12358,2,2,1168.06,13,2011-07-12 10:04:00,2011-12-08 10:26:00,584.03,683.2,150,5,2,4,11,Recent High-Value
12359,58,4,6372.58,214,2011-01-12 12:43:00,2011-10-13 12:47:00,1593.145,2876.85,275,3,4,5,12,Needs Attention
12360,52,3,2662.06,105,2011-05-23 09:43:00,2011-10-18 15:22:00,887.3533333333334,1083.58,149,3,3,5,11,Needs Attention
12361,287,1,189.9,10,2011-02-25 13:51:00,2011-02-25 13:51:00,189.9,189.9,1,1,1,1,3,Inactive/Low Engagement
12362,3,10,5226.23,201,2011-02-17 10:30:00,2011-12-06 15:40:00,522.6229999999999,829.99,293,5,5,5,15,Champions
12363,110,2,552.0,23,2011-04-11 13:29:00,2011-08-22 10:18:00,276.0,299.1,133,2,2,3,7,Inactive/Low Engagement
12364,8,4,1313.1,70,2011-08-19 15:24:00,2011-12-02 10:22:00,328.275,623.92,105,5,4,4,13,Champions
12365,291,2,641.38,22,2011-02-21 13:51:00,2011-02-21 14:04:00,320.69,320.69,1,1,2,3,6,Inactive/Low Engagement
12367,4,1,168.9,11,2011-12-05 16:48:00,2011-12-05 16:48:00,168.9,168.9,1,5,1,1,7,New/Potential Customers
12370,51,4,3545.69,143,2010-12-14 12:58:00,2011-10-19 14:51:00,886.4224999999999,1590.82,310,3,4,5,12,Needs Attention
12371,45,2,1887.96,63,2011-10-11 10:43:00,2011-10-26 10:16:00,943.98,1527.96,15,3,2,4,9,Needs Attention
12372,72,3,1298.04,34,2011-02-16 12:46:00,2011-09-29 12:12:00,432.68,515.7,225,3,3,4,10,Needs Attention
12373,311,1,364.6,14,2011-02-01 13:10:00,2011-02-01 13:10:00,364.6,364.6,1,1,1,2,4,Inactive/Low Engagement
