stockcode,description,total_quantity,total_revenue,unique_customers
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1
22423,REGENCY CAKESTAND 3 TIER,12402,142592.94999999998,881
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36725,100448.15000000001,856
85099B,JUMBO BAG RED RETROSPOT,46181,85220.78,635
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,138
47566,PARTY BUNTING,15291,68844.33,708
84879,ASSORTED COLOUR BIRD ORNAMENT,35362,56580.34,678
23084,RABBIT NIGHT LIGHT,27202,51346.2,450
79321,CHILLI LIGHTS,9650,46286.51,205
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15617,42660.83,613
